Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
Picture	jitter	other				1340881	1	9166	1	0	50000
Picture	fixation	other				1350046	1	4166	1	0	4000
Picture	red_left	hit	1	4021	1	1354213	1	4166	1	4000	resp
Picture	jitter	other				1370211	1	8166	1	0	50000
Picture	fixation	other				1378377	1	4166	1	0	4000
Picture	green_right	hit	2	4329	1	1382544	1	4500	1	4000	resp
Picture	jitter	other				1398542	1	8166	1	0	50000
Picture	fixation	other				1406708	1	4166	1	0	4000
Picture	red_left	hit	1	3998	1	1410874	1	4166	1	4000	resp
Picture	jitter	other				1426873	1	1167	1	0	50000
Picture	fixation	other				1428040	1	4166	1	0	4000
Picture	green_right	hit	2	4506	1	1432206	1	4666	1	4000	resp
Picture	jitter	other				1448204	1	6166	1	0	50000
Picture	fixation	other				1454371	1	4166	1	0	4000
Picture	red_left	hit	1	4335	1	1458537	1	4500	1	4000	resp
Picture	jitter	other				1474535	1	7166	1	0	50000
Picture	fixation	other				1481702	1	4166	1	0	4000
Picture	green_left	hit	2	5323	1	1485868	1	5500	1	4000	resp
Picture	jitter	other				1501866	1	10166	1	0	50000
Picture	fixation	other				1512032	1	4166	1	0	4000
Picture	red_left	hit	1	4192	1	1516198	1	4333	1	4000	resp
Picture	jitter	other				1532197	1	2166	3	0	50000
Picture	fixation	other				1534363	3	4167	3	0	4000
Picture	red_left	hit	1	4500	1	1538530	1	4666	1	4000	resp
Picture	jitter	other				1554528	1	6166	1	0	50000
Picture	fixation	other				1560694	1	4166	1	0	4000
Picture	green_right	hit	2	4168	1	1564861	1	4333	1	4000	resp
Picture	jitter	other				1580859	1	9166	1	0	50000
Picture	fixation	other				1590025	1	4166	1	0	4000
Picture	green_left	hit	2	5477	1	1594192	1	5499	1	4000	resp
Picture	jitter	other				1610190	1	8166	1	0	50000
Picture	fixation	other				1618356	1	4166	1	0	4000
Picture	green_right	hit	2	5065	1	1622522	1	5166	1	4000	resp
Picture	jitter	other				1638521	1	5166	1	0	50000
Picture	fixation	other				1643687	1	4166	1	0	4000
Picture	green_left	hit	2	5335	1	1647853	1	5500	1	4000	resp
Picture	jitter	other				1663852	1	1167	1	0	50000
Picture	fixation	other				1665019	1	4166	1	0	4000
Picture	green_left	hit	2	5282	1	1669185	1	5333	1	4000	resp
Picture	jitter	other				1685183	1	9166	1	0	50000
Picture	fixation	other				1694349	1	4166	1	0	4000
Picture	red_left	hit	1	4432	1	1698516	1	4500	1	4000	resp
Picture	jitter	other				1714514	1	5166	1	0	50000
Picture	fixation	other				1719680	1	4166	1	0	4000
Picture	red_right	hit	1	5259	1	1723847	1	5333	1	4000	resp
Picture	jitter	other				1739845	1	6166	1	0	50000
Picture	fixation	other				1746011	1	4166	1	0	4000
Picture	red_right	hit	1	4768	1	1750178	1	4833	1	4000	resp
Picture	jitter	other				1766176	1	10166	1	0	50000
Picture	fixation	other				1776342	1	4166	1	0	4000
Picture	red_right	hit	1	4916	1	1780508	1	5000	1	4000	resp
Picture	jitter	other				1796507	1	6166	1	0	50000
Picture	fixation	other				1802673	1	4166	1	0	4000
Picture	red_right	hit	1	5144	1	1806839	1	5166	1	4000	resp
Picture	jitter	other				1822838	1	4166	1	0	50000
Picture	fixation	other				1827004	1	4166	1	0	4000
Picture	green_left	hit	2	4575	1	1831170	1	4666	1	4000	resp
Picture	jitter	other				1847169	1	3166	1	0	50000
Picture	fixation	other				1850335	1	4166	1	0	4000
Picture	green_left	hit	2	6761	1	1854502	1	6833	1	4000	resp
Picture	jitter	other				1870500	1	4166	1	0	50000
Picture	fixation	other				1874667	1	4166	1	0	4000
Picture	red_left	hit	1	3869	1	1878833	1	4000	1	4000	resp
Picture	jitter	other				1894831	1	10166	1	0	50000
Picture	fixation	other				1904997	1	4166	1	0	4000
Picture	green_left	hit	2	4818	1	1909164	1	4818	183	4000	resp
Picture	jitter	other				1925162	1	2166	1	0	50000
Picture	fixation	other				1927328	1	4166	1	0	4000
Picture	green_left	hit	2	6485	1	1931495	1	6486	181	4000	resp
Picture	jitter	other				1947493	1	6166	1	0	50000
Picture	fixation	other				1953659	1	4166	1	0	4000
